x_i          u_i       Analitic sol  f_i 
0.176823   0.652545    0.652550   17.063444 
0.177822   0.653242    0.653248   16.893829 
0.178821   0.653923    0.653928   16.725900 
0.179820   0.654586    0.654592   16.559640 
0.180819   0.655233    0.655239   16.395032 
0.181818   0.655864    0.655869   16.232061 
0.182817   0.656479    0.656484   16.070710 
0.183816   0.657077    0.657083   15.910963 
0.184815   0.657660    0.657665   15.752803 
0.185814   0.658227    0.658232   15.596216 
0.186813   0.658778    0.658783   15.441185 
0.187812   0.659314    0.659319   15.287696 
0.188811   0.659835    0.659840   15.135732 
0.189810   0.660340    0.660346   14.985279 
0.190809   0.660831    0.660836   14.836321 
0.191808   0.661307    0.661312   14.688844 
0.192807   0.661768    0.661773   14.542832 
0.193806   0.662214    0.662220   14.398273 
0.194805   0.662647    0.662652   14.255150 
0.195804   0.663065    0.663070   14.113450 
0.196803   0.663469    0.663474   13.973158 
0.197802   0.663859    0.663864   13.834261 
0.198801   0.664235    0.664240   13.696745 
0.199800   0.664597    0.664603   13.560595 
0.200799   0.664946    0.664952   13.425799 
0.201798   0.665282    0.665288   13.292343 
0.202797   0.665604    0.665610   13.160214 
0.203796   0.665914    0.665919   13.029397 
0.204795   0.666210    0.666215   12.899882 
0.205794   0.666493    0.666499   12.771653 
0.206793   0.666764    0.666769   12.644700 
0.207792   0.667022    0.667027   12.519008 
0.208791   0.667267    0.667273   12.394565 
0.209790   0.667500    0.667506   12.271360 
0.210789   0.667721    0.667727   12.149379 
0.211788   0.667930    0.667935   12.028611 
0.212787   0.668126    0.668132   11.909043 
0.213786   0.668311    0.668317   11.790664 
0.214785   0.668484    0.668490   11.673462 
0.215784   0.668646    0.668651   11.557424 
0.216783   0.668796    0.668801   11.442540 
0.217782   0.668934    0.668940   11.328798 
0.218781   0.669061    0.669067   11.216187 
0.219780   0.669177    0.669183   11.104695 
0.220779   0.669282    0.669288   10.994311 
0.221778   0.669376    0.669382   10.885025 
0.222777   0.669459    0.669465   10.776825 
0.223776   0.669531    0.669537   10.669700 
0.224775   0.669593    0.669599   10.563640 
0.225774   0.669644    0.669650   10.458635 
0.226773   0.669685    0.669690   10.354673 
0.227772   0.669715    0.669721   10.251745 
0.228771   0.669735    0.669741   10.149840 
0.229770   0.669745    0.669751   10.048947 
0.230769   0.669745    0.669751   9.949058 
0.231768   0.669735    0.669741   9.850162 
0.232767   0.669715    0.669721   9.752248 
0.233766   0.669686    0.669691   9.655308 
0.234765   0.669647    0.669652   9.559332 
0.235764   0.669598    0.669603   9.464309 
0.236763   0.669540    0.669545   9.370232 
0.237762   0.669472    0.669478   9.277089 
0.238761   0.669395    0.669401   9.184872 
0.239760   0.669309    0.669315   9.093572 
0.240759   0.669214    0.669220   9.003179 
0.241758   0.669110    0.669116   8.913685 
0.242757   0.668997    0.669003   8.825081 
0.243756   0.668876    0.668881   8.737357 
0.244755   0.668745    0.668751   8.650505 
0.245754   0.668606    0.668612   8.564517 
0.246753   0.668459    0.668464   8.479383 
0.247752   0.668302    0.668308   8.395096 
0.248751   0.668138    0.668144   8.311646 
0.249750   0.667965    0.667971   8.229026 
0.250749   0.667784    0.667790   8.147227 
0.251748   0.667595    0.667601   8.066242 
0.252747   0.667398    0.667404   7.986061 
0.253746   0.667193    0.667198   7.906677 
0.254745   0.666980    0.666985   7.828083 
0.255744   0.666759    0.666765   7.750270 
0.256743   0.666531    0.666536   7.673230 
0.257742   0.666294    0.666300   7.596956 
0.258741   0.666051    0.666056   7.521440 
0.259740   0.665799    0.665805   7.446675 
0.260739   0.665541    0.665546   7.372653 
0.261738   0.665274    0.665280   7.299367 
0.262737   0.665001    0.665007   7.226809 
0.263736   0.664720    0.664726   7.154972 
0.264735   0.664433    0.664438   7.083850 
0.265734   0.664138    0.664143   7.013435 
0.266733   0.663836    0.663842   6.943719 
0.267732   0.663527    0.663533   6.874697 
0.268731   0.663212    0.663217   6.806360 
0.269730   0.662889    0.662895   6.738703 
0.270729   0.662560    0.662566   6.671719 
0.271728   0.662225    0.662230   6.605400 
0.272727   0.661882    0.661888   6.539740 
0.273726   0.661533    0.661539   6.474734 
0.274725   0.661178    0.661183   6.410373 
0.275724   0.660816    0.660822   6.346652 
0.276723   0.660448    0.660454   6.283565 
0.277722   0.660074    0.660079   6.221104 
0.278721   0.659693    0.659699   6.159265 
0.279720   0.659307    0.659312   6.098040 
0.280719   0.658914    0.658919   6.037424 
0.281718   0.658515    0.658520   5.977410 
0.282717   0.658110    0.658116   5.917993 
0.283716   0.657699    0.657705   5.859166 
0.284715   0.657283    0.657288   5.800925 
0.285714   0.656861    0.656866   5.743262 
0.286713   0.656433    0.656438   5.686172 
0.287712   0.655999    0.656004   5.629650 
0.288711   0.655559    0.655565   5.573690 
0.289710   0.655115    0.655120   5.518286 
0.290709   0.654664    0.654670   5.463433 
0.291708   0.654208    0.654214   5.409125 
0.292707   0.653747    0.653752   5.355356 
0.293706   0.653280    0.653286   5.302123 
0.294705   0.652808    0.652814   5.249418 
0.295704   0.652331    0.652337   5.197237 
0.296703   0.651849    0.651854   5.145575 
0.297702   0.651362    0.651367   5.094427 
0.298701   0.650869    0.650874   5.043787 
0.299700   0.650371    0.650377   4.993650 
0.300699   0.649869    0.649874   4.944012 
0.301698   0.649361    0.649367   4.894867 
0.302697   0.648849    0.648854   4.846211 
0.303696   0.648332    0.648337   4.798038 
0.304695   0.647810    0.647815   4.750344 
0.305694   0.647283    0.647288   4.703125 
0.306693   0.646751    0.646757   4.656374 
0.307692   0.646215    0.646221   4.610089 
0.308691   0.645675    0.645680   4.564263 
0.309690   0.645129    0.645135   4.518893 
0.310689   0.644580    0.644585   4.473974 
0.311688   0.644025    0.644031   4.429502 
0.312687   0.643467    0.643472   4.385471 
0.313686   0.642904    0.642909   4.341878 
0.314685   0.642336    0.642342   4.298719 
0.315684   0.641765    0.641770   4.255988 
0.316683   0.641189    0.641194   4.213683 
0.317682   0.640609    0.640614   4.171798 
0.318681   0.640025    0.640030   4.130329 
0.319680   0.639436    0.639441   4.089272 
0.320679   0.638844    0.638849   4.048624 
0.321678   0.638247    0.638252   4.008379 
0.322677   0.637647    0.637652   3.968535 
0.323676   0.637042    0.637048   3.929086 
0.324675   0.636434    0.636439   3.890030 
0.325674   0.635822    0.635827   3.851362 
0.326673   0.635205    0.635211   3.813079 
0.327672   0.634586    0.634591   3.775176 
0.328671   0.633962    0.633967   3.737649 
0.329670   0.633334    0.633340   3.700496 
0.330669   0.632703    0.632709   3.663712 
0.331668   0.632069    0.632074   3.627294 
0.332667   0.631430    0.631435   3.591238 
0.333666   0.630788    0.630793   3.555540 
0.334665   0.630143    0.630148   3.520197 
0.335664   0.629494    0.629499   3.485205 
0.336663   0.628841    0.628846   3.450561 
0.337662   0.628185    0.628190   3.416261 
0.338661   0.627526    0.627531   3.382303 
0.339660   0.626863    0.626868   3.348682 
0.340659   0.626197    0.626202   3.315395 
0.341658   0.625528    0.625533   3.282439 
0.342657   0.624855    0.624860   3.249811 
0.343656   0.624179    0.624184   3.217507 
0.344655   0.623500    0.623505   3.185524 
0.345654   0.622818    0.622823   3.153859 
0.346653   0.622132    0.622137   3.122509 
0.347652   0.621444    0.621449   3.091470 
0.348651   0.620752    0.620757   3.060740 
0.349650   0.620057    0.620062   3.030315 
0.350649   0.619359    0.619365   3.000193 
0.351648   0.618659    0.618664   2.970370 
0.352647   0.617955    0.617960   2.940844 
0.353646   0.617248    0.617254   2.911611 
0.354645   0.616539    0.616544   2.882669 
0.355644   0.615827    0.615832   2.854015 
0.356643   0.615111    0.615116   2.825645 
0.357642   0.614393    0.614398   2.797557 
0.358641   0.613672    0.613677   2.769749 
0.359640   0.612949    0.612954   2.742217 
0.360639   0.612222    0.612227   2.714958 
0.361638   0.611493    0.611498   2.687971 
0.362637   0.610762    0.610767   2.661252 
0.363636   0.610027    0.610032   2.634798 
0.364635   0.609290    0.609295   2.608607 
0.365634   0.608550    0.608555   2.582677 
0.366633   0.607808    0.607813   2.557005 
0.367632   0.607063    0.607068   2.531587 
0.368631   0.606316    0.606321   2.506423 
0.369630   0.605566    0.605571   2.481508 
0.370629   0.604814    0.604819   2.456841 
0.371628   0.604059    0.604064   2.432420 
0.372627   0.603302    0.603307   2.408241 
0.373626   0.602543    0.602548   2.384302 
0.374625   0.601781    0.601786   2.360601 
0.375624   0.601016    0.601021   2.337136 
0.376623   0.600250    0.600255   2.313905 
0.377622   0.599481    0.599486   2.290904 
0.378621   0.598710    0.598714   2.268132 
0.379620   0.597936    0.597941   2.245586 
0.380619   0.597160    0.597165   2.223264 
0.381618   0.596382    0.596387   2.201164 
0.382617   0.595602    0.595607   2.179284 
0.383616   0.594820    0.594825   2.157621 
0.384615   0.594035    0.594040   2.136174 
0.385614   0.593249    0.593254   2.114940 
0.386613   0.592460    0.592465   2.093917 
0.387612   0.591669    0.591674   2.073103 
0.388611   0.590876    0.590881   2.052495 
0.389610   0.590081    0.590086   2.032093 
0.390609   0.589285    0.589289   2.011893 
0.391608   0.588486    0.588490   1.991895 
0.392607   0.587685    0.587689   1.972095 
0.393606   0.586882    0.586887   1.952492 
0.394605   0.586077    0.586082   1.933083 
0.395604   0.585270    0.585275   1.913868 
0.396603   0.584461    0.584466   1.894843 
0.397602   0.583651    0.583656   1.876008 
0.398601   0.582838    0.582843   1.857360 
0.399600   0.582024    0.582029   1.838897 
0.400599   0.581208    0.581213   1.820618 
0.401598   0.580390    0.580395   1.802521 
0.402597   0.579570    0.579575   1.784603 
0.403596   0.578748    0.578753   1.766864 
0.404595   0.577925    0.577930   1.749301 
0.405594   0.577100    0.577105   1.731912 
0.406593   0.576273    0.576278   1.714697 
0.407592   0.575445    0.575450   1.697652 
0.408591   0.574615    0.574619   1.680777 
0.409590   0.573783    0.573787   1.664069 
0.410589   0.572949    0.572954   1.647528 
0.411588   0.572114    0.572119   1.631151 
0.412587   0.571277    0.571282   1.614937 
0.413586   0.570439    0.570444   1.598884 
0.414585   0.569599    0.569603   1.582991 
0.415584   0.568757    0.568762   1.567256 
0.416583   0.567914    0.567919   1.551677 
0.417582   0.567069    0.567074   1.536253 
0.418581   0.566223    0.566228   1.520982 
0.419580   0.565375    0.565380   1.505863 
0.420579   0.564526    0.564531   1.490894 
0.421578   0.563675    0.563680   1.476074 
0.422577   0.562823    0.562828   1.461402 
0.423576   0.561969    0.561974   1.446875 
0.424575   0.561114    0.561119   1.432493 
0.425574   0.560258    0.560262   1.418253 
0.426573   0.559400    0.559404   1.404155 
0.427572   0.558540    0.558545   1.390198 
0.428571   0.557680    0.557684   1.376379 
0.429570   0.556817    0.556822   1.362697 
0.430569   0.555954    0.555959   1.349152 
0.431568   0.555089    0.555094   1.335741 
0.432567   0.554223    0.554228   1.322463 
0.433566   0.553355    0.553360   1.309317 
0.434565   0.552487    0.552491   1.296302 
0.435564   0.551617    0.551621   1.283417 
0.436563   0.550745    0.550750   1.270659 
0.437562   0.549873    0.549877   1.258028 
0.438561   0.548999    0.549003   1.245523 
0.439560   0.548124    0.548128   1.233143 
0.440559   0.547247    0.547252   1.220885 
0.441558   0.546370    0.546374   1.208749 
0.442557   0.545491    0.545495   1.196733 
0.443556   0.544611    0.544615   1.184838 
0.444555   0.543730    0.543734   1.173060 
0.445554   0.542847    0.542852   1.161399 
0.446553   0.541964    0.541968   1.149855 
0.447552   0.541079    0.541084   1.138425 
0.448551   0.540193    0.540198   1.127109 
0.449550   0.539306    0.539311   1.115905 
0.450549   0.538418    0.538423   1.104813 
0.451548   0.537529    0.537534   1.093830 
0.452547   0.536639    0.536644   1.082957 
0.453546   0.535748    0.535752   1.072193 
0.454545   0.534855    0.534860   1.061535 
0.455544   0.533962    0.533966   1.050983 
0.456543   0.533067    0.533072   1.040536 
0.457542   0.532172    0.532176   1.030192 
0.458541   0.531275    0.531280   1.019952 
0.459540   0.530378    0.530382   1.009813 
0.460539   0.529479    0.529484   0.999776 
0.461538   0.528580    0.528584   0.989838 
0.462537   0.527679    0.527684   0.979998 
0.463536   0.526778    0.526782   0.970257 
0.464535   0.525875    0.525880   0.960612 
0.465534   0.524972    0.524976   0.951063 
0.466533   0.524067    0.524072   0.941610 
0.467532   0.523162    0.523166   0.932250 
0.468531   0.522256    0.522260   0.922983 
0.469530   0.521348    0.521353   0.913808 
0.470529   0.520440    0.520445   0.904725 
0.471528   0.519531    0.519536   0.895732 
0.472527   0.518621    0.518626   0.886828 
0.473526   0.517711    0.517715   0.878012 
0.474525   0.516799    0.516803   0.869285 
0.475524   0.515886    0.515891   0.860644 
0.476523   0.514973    0.514977   0.852089 
0.477522   0.514059    0.514063   0.843619 
0.478521   0.513144    0.513148   0.835233 
0.479520   0.512228    0.512232   0.826931 
0.480519   0.511311    0.511315   0.818711 
0.481518   0.510393    0.510398   0.810572 
0.482517   0.509475    0.509479   0.802515 
0.483516   0.508556    0.508560   0.794538 
0.484515   0.507636    0.507640   0.786640 
0.485514   0.506715    0.506719   0.778821 
0.486513   0.505794    0.505798   0.771079 
0.487512   0.504871    0.504876   0.763414 
0.488511   0.503948    0.503952   0.755826 
0.489510   0.503024    0.503029   0.748312 
0.490509   0.502100    0.502104   0.740874 
0.491508   0.501175    0.501179   0.733510 
0.492507   0.500249    0.500253   0.726218 
0.493506   0.499322    0.499326   0.718999 
0.494505   0.498394    0.498398   0.711852 
0.495504   0.497466    0.497470   0.704776 
0.496503   0.496537    0.496541   0.697771 
0.497502   0.495608    0.495612   0.690835 
0.498501   0.494677    0.494681   0.683968 
0.499500   0.493746    0.493750   0.677169 
0.500500   0.492815    0.492819   0.670437 
0.501499   0.491882    0.491887   0.663773 
0.502498   0.490949    0.490954   0.657175 
0.503497   0.490016    0.490020   0.650643 
0.504496   0.489082    0.489086   0.644175 
0.505495   0.488147    0.488151   0.637772 
0.506494   0.487211    0.487215   0.631432 
0.507493   0.486275    0.486279   0.625155 
0.508492   0.485338    0.485342   0.618941 
0.509491   0.484401    0.484405   0.612789 
0.510490   0.483463    0.483467   0.606698 
0.511489   0.482524    0.482528   0.600667 
0.512488   0.481585    0.481589   0.594696 
0.513487   0.480645    0.480649   0.588785 
0.514486   0.479705    0.479709   0.582932 
0.515485   0.478764    0.478768   0.577137 
0.516484   0.477822    0.477826   0.571400 
0.517483   0.476880    0.476884   0.565721 
0.518482   0.475937    0.475941   0.560097 
0.519481   0.474994    0.474998   0.554530 
0.520480   0.474050    0.474054   0.549017 
0.521479   0.473106    0.473110   0.543560 
0.522478   0.472161    0.472165   0.538157 
0.523477   0.471215    0.471219   0.532808 
0.524476   0.470269    0.470273   0.527511 
0.525475   0.469323    0.469327   0.522268 
0.526474   0.468376    0.468380   0.517076 
0.527473   0.467428    0.467432   0.511936 
0.528472   0.466480    0.466484   0.506848 
0.529471   0.465532    0.465535   0.501809 
0.530470   0.464582    0.464586   0.496821 
0.531469   0.463633    0.463637   0.491883 
0.532468   0.462683    0.462687   0.486993 
0.533467   0.461732    0.461736   0.482152 
0.534466   0.460781    0.460785   0.477360 
0.535465   0.459830    0.459834   0.472615 
0.536464   0.458878    0.458882   0.467917 
0.537463   0.457925    0.457929   0.463265 
0.538462   0.456973    0.456976   0.458660 
0.539461   0.456019    0.456023   0.454101 
0.540460   0.455065    0.455069   0.449587 
0.541459   0.454111    0.454115   0.445118 
0.542458   0.453156    0.453160   0.440694 
0.543457   0.452201    0.452205   0.436313 
0.544456   0.451246    0.451249   0.431976 
0.545455   0.450290    0.450293   0.427682 
0.546454   0.449333    0.449337   0.423431 
0.547453   0.448376    0.448380   0.419222 
0.548452   0.447419    0.447423   0.415055 
0.549451   0.446461    0.446465   0.410929 
0.550450   0.445503    0.445507   0.406844 
0.551449   0.444545    0.444548   0.402800 
0.552448   0.443586    0.443590   0.398796 
0.553447   0.442627    0.442630   0.394832 
0.554446   0.441667    0.441671   0.390907 
0.555445   0.440707    0.440710   0.387021 
0.556444   0.439746    0.439750   0.383174 
0.557443   0.438785    0.438789   0.379365 
0.558442   0.437824    0.437828   0.375594 
0.559441   0.436863    0.436866   0.371861 
0.560440   0.435901    0.435904   0.368165 
0.561439   0.434938    0.434942   0.364505 
0.562438   0.433976    0.433979   0.360882 
0.563437   0.433012    0.433016   0.357294 
0.564436   0.432049    0.432053   0.353743 
0.565435   0.431085    0.431089   0.350226 
0.566434   0.430121    0.430125   0.346745 
0.567433   0.429157    0.429160   0.343298 
0.568432   0.428192    0.428195   0.339886 
0.569431   0.427227    0.427230   0.336507 
0.570430   0.426261    0.426265   0.333162 
0.571429   0.425295    0.425299   0.329851 
0.572428   0.424329    0.424333   0.326572 
0.573427   0.423363    0.423366   0.323326 
0.574426   0.422396    0.422399   0.320112 
0.575425   0.421429    0.421432   0.316930 
0.576424   0.420461    0.420465   0.313779 
0.577423   0.419494    0.419497   0.310660 
0.578422   0.418525    0.418529   0.307572 
0.579421   0.417557    0.417561   0.304515 
0.580420   0.416588    0.416592   0.301488 
0.581419   0.415619    0.415623   0.298491 
0.582418   0.414650    0.414654   0.295524 
0.583417   0.413681    0.413684   0.292586 
0.584416   0.412711    0.412714   0.289678 
0.585415   0.411741    0.411744   0.286798 
0.586414   0.410770    0.410774   0.283948 
0.587413   0.409799    0.409803   0.281125 
0.588412   0.408828    0.408832   0.278331 
0.589411   0.407857    0.407861   0.275564 
0.590410   0.406886    0.406889   0.272825 
0.591409   0.405914    0.405917   0.270113 
0.592408   0.404942    0.404945   0.267428 
0.593407   0.403969    0.403973   0.264769 
0.594406   0.402997    0.403000   0.262138 
0.595405   0.402024    0.402027   0.259532 
0.596404   0.401051    0.401054   0.256952 
0.597403   0.400077    0.400081   0.254398 
0.598402   0.399104    0.399107   0.251869 
0.599401   0.398130    0.398133   0.249365 
0.600400   0.397155    0.397159   0.246887 
0.601399   0.396181    0.396184   0.244433 
0.602398   0.395206    0.395210   0.242003 
0.603397   0.394232    0.394235   0.239597 
0.604396   0.393256    0.393260   0.237216 
0.605395   0.392281    0.392284   0.234858 
0.606394   0.391305    0.391309   0.232523 
0.607393   0.390330    0.390333   0.230212 
0.608392   0.389354    0.389357   0.227923 
0.609391   0.388377    0.388380   0.225658 
0.610390   0.387401    0.387404   0.223415 
0.611389   0.386424    0.386427   0.221194 
0.612388   0.385447    0.385450   0.218995 
0.613387   0.384470    0.384473   0.216818 
0.614386   0.383492    0.383496   0.214663 
0.615385   0.382515    0.382518   0.212529 
0.616384   0.381537    0.381540   0.210417 
0.617383   0.380559    0.380562   0.208325 
0.618382   0.379581    0.379584   0.206254 
0.619381   0.378602    0.378605   0.204204 
0.620380   0.377624    0.377627   0.202174 
0.621379   0.376645    0.376648   0.200164 
0.622378   0.375666    0.375669   0.198175 
0.623377   0.374687    0.374690   0.196205 
0.624376   0.373707    0.373710   0.194255 
0.625375   0.372727    0.372731   0.192324 
0.626374   0.371748    0.371751   0.190412 
0.627373   0.370768    0.370771   0.188519 
0.628372   0.369787    0.369790   0.186645 
0.629371   0.368807    0.368810   0.184790 
0.630370   0.367826    0.367829   0.182953 
0.631369   0.366846    0.366849   0.181134 
0.632368   0.365865    0.365868   0.179334 
0.633367   0.364884    0.364887   0.177551 
0.634366   0.363902    0.363905   0.175786 
0.635365   0.362921    0.362924   0.174039 
0.636364   0.361939    0.361942   0.172309 
0.637363   0.360957    0.360960   0.170596 
0.638362   0.359975    0.359978   0.168900 
0.639361   0.358993    0.358996   0.167221 
0.640360   0.358011    0.358014   0.165559 
0.641359   0.357028    0.357031   0.163914 
0.642358   0.356046    0.356049   0.162284 
0.643357   0.355063    0.355066   0.160671 
0.644356   0.354080    0.354083   0.159074 
0.645355   0.353097    0.353100   0.157493 
0.646354   0.352113    0.352116   0.155927 
0.647353   0.351130    0.351133   0.154377 
0.648352   0.350146    0.350149   0.152843 
0.649351   0.349163    0.349166   0.151323 
0.650350   0.348179    0.348182   0.149819 
0.651349   0.347195    0.347198   0.148330 
0.652348   0.346211    0.346213   0.146855 
0.653347   0.345226    0.345229   0.145396 
0.654346   0.344242    0.344245   0.143950 
0.655345   0.343257    0.343260   0.142520 
0.656344   0.342272    0.342275   0.141103 
0.657343   0.341287    0.341290   0.139700 
0.658342   0.340302    0.340305   0.138312 
0.659341   0.339317    0.339320   0.136937 
0.660340   0.338332    0.338335   0.135576 
0.661339   0.337346    0.337349   0.134228 
0.662338   0.336361    0.336363   0.132894 
0.663337   0.335375    0.335378   0.131573 
